Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano,Percentual,IDHM,IDHM_Renda,IDHM_Educacao,IDHM_Longevidade
Amapá,2021,15-19 anos,2909,14993,19.40238778096445,0.724,0.663,0.701,0.815
Amapá,2021,20-24 anos,4049,14993,27.005936103514973,0.724,0.663,0.701,0.815
Amapá,2021,25-29 anos,3282,14993,21.89021543386914,0.724,0.663,0.701,0.815
Amapá,2021,30-34 anos,2522,14993,16.821183218835458,0.724,0.663,0.701,0.815
Amapá,2021,35-39 anos,1546,14993,10.31147869005536,0.724,0.663,0.701,0.815
Amapá,2021,40-44 anos,465,14993,3.101447342092977,0.724,0.663,0.701,0.815
Amapá,2021,Idade ignorada,5,14993,0.03334889615153738,0.724,0.663,0.701,0.815
Amapá,2021,Outras idades,34,14993,0.22677249383045422,0.724,0.663,0.701,0.815
Amazonas,2000,10-14 anos,938,67646,1.386630399432339,0.515,0.608,0.324,0.692
Amazonas,2000,15-19 anos,18698,67646,27.640954380155513,0.515,0.608,0.324,0.692
Amazonas,2000,20-24 anos,22859,67646,33.79209413712562,0.515,0.608,0.324,0.692
Amazonas,2000,25-29 anos,13780,67646,20.370753629187238,0.515,0.608,0.324,0.692
Amazonas,2000,30-34 anos,6639,67646,9.814327528604796,0.515,0.608,0.324,0.692
Amazonas,2000,35-39 anos,2998,67646,4.43189545575496,0.515,0.608,0.324,0.692
Amazonas,2000,40-44 anos,893,67646,1.3201076190757768,0.515,0.608,0.324,0.692
Amazonas,2000,Idade ignorada,732,67646,1.0821038938000769,0.515,0.608,0.324,0.692
Amazonas,2000,Outras idades,109,67646,0.16113295686367266,0.515,0.608,0.324,0.692
Amazonas,2010,10-14 anos,1222,74188,1.6471666576804873,0.674,0.677,0.561,0.805
Amazonas,2010,15-19 anos,17960,74188,24.20876691648245,0.674,0.677,0.561,0.805
Amazonas,2010,20-24 anos,22018,74188,29.678654229794578,0.674,0.677,0.561,0.805
Amazonas,2010,25-29 anos,16990,74188,22.901277834690244,0.674,0.677,0.561,0.805
Amazonas,2010,30-34 anos,10152,74188,13.684153771499433,0.674,0.677,0.561,0.805
Amazonas,2010,35-39 anos,4579,74188,6.1721572221922685,0.674,0.677,0.561,0.805
Amazonas,2010,40-44 anos,1139,74188,1.535288725939505,0.674,0.677,0.561,0.805
Amazonas,2010,Outras idades,128,74188,0.17253464172103306,0.674,0.677,0.561,0.805
Amazonas,2017,10-14 anos,1251,78066,1.6024902005994928,0.711,0.654,0.705,0.781
Amazonas,2017,15-19 anos,18323,78066,23.4711654241283,0.711,0.654,0.705,0.781
Amazonas,2017,20-24 anos,21916,78066,28.073681244075527,0.711,0.654,0.705,0.781
Amazonas,2017,25-29 anos,16265,78066,20.834934542566547,0.711,0.654,0.705,0.781
Amazonas,2017,30-34 anos,11923,78066,15.27297415007814,0.711,0.654,0.705,0.781
Amazonas,2017,35-39 anos,6586,78066,8.436451207952246,0.711,0.654,0.705,0.781
Amazonas,2017,40-44 anos,1653,78066,2.1174390900007682,0.711,0.654,0.705,0.781
Amazonas,2017,Idade ignorada,3,78066,0.0038429021597110135,0.711,0.654,0.705,0.781
Amazonas,2017,Outras idades,146,78066,0.18702123843926935,0.711,0.654,0.705,0.781
Amazonas,2018,10-14 anos,1259,78087,1.6123042247749304,0.728,0.672,0.732,0.785
Amazonas,2018,15-19 anos,17931,78087,22.962849129816743,0.728,0.672,0.732,0.785
Amazonas,2018,20-24 anos,22041,78087,28.22620922816858,0.728,0.672,0.732,0.785
Amazonas,2018,25-29 anos,15963,78087,20.442583272503747,0.728,0.672,0.732,0.785
Amazonas,2018,30-34 anos,12265,78087,15.706839806882067,0.728,0.672,0.732,0.785
Amazonas,2018,35-39 anos,6724,78087,8.610908345819407,0.728,0.672,0.732,0.785
Amazonas,2018,40-44 anos,1753,78087,2.244931934893132,0.728,0.672,0.732,0.785
Amazonas,2018,Idade ignorada,10,78087,0.012806228949761165,0.728,0.672,0.732,0.785
Amazonas,2018,Outras idades,141,78087,0.18056782819163242,0.728,0.672,0.732,0.785
Amazonas,2019,10-14 anos,1248,77622,1.6077916054726753,0.718,0.655,0.717,0.789
Amazonas,2019,15-19 anos,17311,77622,22.301667053155033,0.718,0.655,0.717,0.789
Amazonas,2019,20-24 anos,21798,77622,28.082244724433796,0.718,0.655,0.717,0.789
Amazonas,2019,25-29 anos,16577,77622,21.356058849295305,0.718,0.655,0.717,0.789
Amazonas,2019,30-34 anos,11868,77622,15.289479786658422,0.718,0.655,0.717,0.789
Amazonas,2019,35-39 anos,6925,77622,8.921439797995413,0.718,0.655,0.717,0.789
Amazonas,2019,40-44 anos,1747,77622,2.250650588750612,0.718,0.655,0.717,0.789
Amazonas,2019,Idade ignorada,8,77622,0.010306356445337662,0.718,0.655,0.717,0.789
Amazonas,2019,Outras idades,140,77622,0.1803612377934091,0.718,0.655,0.717,0.789
Amazonas,2020,10-14 anos,1075,75635,1.4212996628544985,0.726,0.658,0.735,0.792
Amazonas,2020,15-19 anos,16332,75635,21.5931777616183,0.726,0.658,0.735,0.792
Amazonas,2020,20-24 anos,21111,75635,27.91168110001983,0.726,0.658,0.735,0.792
Amazonas,2020,25-29 anos,16678,75635,22.050637932174258,0.726,0.658,0.735,0.792
Amazonas,2020,30-34 anos,11593,75635,15.327559992067163,0.726,0.658,0.735,0.792
Amazonas,2020,35-39 anos,6845,75635,9.050042969524691,0.726,0.658,0.735,0.792
Amazonas,2020,40-44 anos,1843,75635,2.4367025847821777,0.726,0.658,0.735,0.792
Amazonas,2020,Idade ignorada,10,75635,0.013221392212599985,0.726,0.658,0.735,0.792
Amazonas,2020,Outras idades,148,75635,0.1956766047464798,0.726,0.658,0.735,0.792
Amazonas,2021,10-14 anos,1188,78454,1.5142631350855278,0.727,0.657,0.748,0.783
Amazonas,2021,15-19 anos,16570,78454,21.120656690544777,0.727,0.657,0.748,0.783
Amazonas,2021,20-24 anos,22032,78454,28.082698141586153,0.727,0.657,0.748,0.783
Amazonas,2021,25-29 anos,17668,78454,22.520202921457162,0.727,0.657,0.748,0.783
Amazonas,2021,30-34 anos,11856,78454,15.112040176409106,0.727,0.657,0.748,0.783
Amazonas,2021,35-39 anos,6909,78454,8.806434343691844,0.727,0.657,0.748,0.783
