Estado,Ano,Faixa_Etaria,Nascimentos,Total_Ano
Bahia,2016,20-24 anos,50151,199830
Bahia,2016,25-29 anos,45588,199830
Bahia,2016,30-34 anos,38541,199830
Bahia,2016,35-39 anos,20406,199830
Bahia,2016,40-44 anos,4912,199830
Bahia,2016,Idade ignorada,4,199830
Bahia,2016,Outras idades,373,199830
Bahia,2017,10-14 anos,2155,204096
Bahia,2017,15-19 anos,36712,204096
Bahia,2017,20-24 anos,50682,204096
Bahia,2017,25-29 anos,46209,204096
Bahia,2017,30-34 anos,40320,204096
Bahia,2017,35-39 anos,22271,204096
Bahia,2017,40-44 anos,5363,204096
Bahia,2017,Outras idades,384,204096
Bahia,2018,10-14 anos,2014,205332
Bahia,2018,15-19 anos,34723,205332
Bahia,2018,20-24 anos,49562,205332
Bahia,2018,25-29 anos,46328,205332
Bahia,2018,30-34 anos,41857,205332
Bahia,2018,35-39 anos,24339,205332
Bahia,2018,40-44 anos,6056,205332
Bahia,2018,Idade ignorada,3,205332
Bahia,2018,Outras idades,450,205332
Bahia,2019,10-14 anos,1808,197249
Bahia,2019,15-19 anos,31845,197249
Bahia,2019,20-24 anos,47267,197249
Bahia,2019,25-29 anos,44505,197249
Bahia,2019,30-34 anos,40286,197249
Bahia,2019,35-39 anos,24692,197249
Bahia,2019,40-44 anos,6406,197249
Bahia,2019,Outras idades,440,197249
Bahia,2020,10-14 anos,1568,188960
Bahia,2020,15-19 anos,28777,188960
Bahia,2020,20-24 anos,45524,188960
Bahia,2020,25-29 anos,43707,188960
Bahia,2020,30-34 anos,37989,188960
Bahia,2020,35-39 anos,24210,188960
Bahia,2020,40-44 anos,6738,188960
Bahia,2020,Idade ignorada,1,188960
Bahia,2020,Outras idades,446,188960
Bahia,2021,10-14 anos,1564,185459
Bahia,2021,15-19 anos,27071,185459
Bahia,2021,20-24 anos,45257,185459
Bahia,2021,25-29 anos,43883,185459
Bahia,2021,30-34 anos,36055,185459
Bahia,2021,35-39 anos,24065,185459
Bahia,2021,40-44 anos,7110,185459
Bahia,2021,Menor de 10 anos,1,185459
Bahia,2021,Outras idades,453,185459
